2024-01-05  [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=181|52=20240105-08:18:33|10=096|
2024-01-05 09:30:05.645 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=217|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:30:05.645|10=033|
2024-01-05 09:30:07.471 [41] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=198|35=D|49=FIXCLIENT1|56=DMA_HUB|34=206|52=20240105-08:30:07|21=1|11=HS_17044434074|38=1026|55=E:07G@XETR|54=2|60=20240105-08:30:07|40=2|59=0|44=197.111|48=US3390411052|22=4|15=EUR|207=XETR|1=bram_123|10=120|
2024-01-05 09:30:07.473 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=241|35=8|34=218|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:30:07.472|11=HS_17044434074|37=FXb4ix0FS|54=2|40=2|59=0|17=2024010413|150=A|39=A|38=1026|151=1026|14=0|6=0|44=197.111|60=20240105-08:30:07.000|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=013|
2024-01-05 09:30:19.198 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=237|35=8|34=219|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:30:19.197|11=HS_17044433353|37=FXa4ix0FS|54=2|40=2|59=0|17=2024010414|150=A|39=A|38=2950|151=2950|14=0|6=0|44=197|60=20240105-08:28:55.000|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=112|
2024-01-05 09:30:19.199 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=253|35=8|34=220|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:30:19.199|11=HS_17044433353|37=FXa4ix0FS|198=qm2cx2eb000|54=2|40=2|59=0|17=2024010415|150=0|39=0|38=2950|151=2950|14=0|6=0|44=197|60=20240105-08:30:19.198|22=4|48=US3390411052|207=XETR|15=EUR|55=[N/A]|10=166|
2024-01-05 09:30:35.595 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=0|34=221|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:30:35.593|10=033|
2024-01-05 09:30:37.471 [34] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=58|35=0|49=FIXCLIENT1|56=DMA_HUB|34=207|52=20240105-08:30:37|10=093|
2024-01-05 09:30:58.349 [33] [FixSender] (DEBUG) Receiving 8=FIX.4.4|9=62|35=5|34=222|49=DMA_HUB|56=FIXCLIENT1|52=20240105-08:30:58.349|10=043|
2024-01-05 09:30:58.351 [33] [FixSender] (DEBUG) Sending 8=FIX.4.4|9=80|35=5|49=FIXCLIENT1|56=DMA_HUB|34=208|52=20240105-08:30:58|58=Replying to logout|10=019|
2024-01-05 09:30:58.351 [33] [FixSender] (WARNING) The Fix connection is close...
2024-01-05 09:30:58.353 [33] [FixSender] (INFO) physical cnx finished Connection reset by peer
